title,url,release_date,critic_score,audience_score,release_year,omdb_Response,omdb_Error,imdbID,Rated,RuntimeMin,Genre,Plot,Poster,OMDb_raw
The Verdict,https://www.rottentomatoes.com/m/verdict,"Released Dec 8, 1982",88.0,88.0,1982.0,True,,tt0084855,R,129,Drama,"An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.",https://m.media-amazon.com/images/M/MV5BZGNhMzRhNTgtOWUwMy00MGNmLThmZjEtZWMxNDM0N2ZlNzM2XkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'The Verdict', 'Year': '1982', 'Rated': 'R', 'Released': '17 Dec 1982', 'Runtime': '129 min', 'Genre': 'Drama', 'Director': 'Sidney Lumet', 'Writer': 'Barry Reed, David Mamet, Jay Presson Allen', 'Actors': 'Paul Newman, Charlotte Rampling, Jack Warden', 'Plot': 'An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.', 'Language': 'English', 'Country': 'United States', 'Awards': 'Nominated for 5 Oscars. 3 wins & 14 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BZGNhMzRhNTgtOWUwMy00MGNmLThmZjEtZWMxNDM0N2ZlNzM2XkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '77/100'}], 'Metascore': '77', 'imdbRating': '7.7', 'imdbVotes': '48,433', 'imdbID': 'tt0084855', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$53,977,250', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
Zelig,https://www.rottentomatoes.com/m/zelig,"Released Jul 15, 1983",97.0,88.0,1983.0,True,,tt0086637,PG,79,Comedy,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people.",https://m.media-amazon.com/images/M/MV5BMDJiYzNhZjUtNTRmMS00ZjA1LWFmNjUtZjgwYWY2NGYxYzg3XkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'Zelig', 'Year': '1983', 'Rated': 'PG', 'Released': '25 Aug 1983', 'Runtime': '79 min', 'Genre': 'Comedy', 'Director': 'Woody Allen', 'Writer': 'Woody Allen', 'Actors': 'Woody Allen, Mia Farrow, Patrick Horgan', 'Plot': '""Documentary"" about a man who can look and act like whoever he\'s around, and meets various famous people.', 'Language': 'English, German', 'Country': 'United States', 'Awards': 'Nominated for 2 Oscars. 7 wins & 19 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BMDJiYzNhZjUtNTRmMS00ZjA1LWFmNjUtZjgwYWY2NGYxYzg3XkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}], 'Metascore': 'N/A', 'imdbRating': '7.6', 'imdbVotes': '44,742', 'imdbID': 'tt0086637', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$11,798,616', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
The Right Stuff,https://www.rottentomatoes.com/m/the_right_stuff,"Released Sep 9, 1983",96.0,90.0,1983.0,True,,tt0086197,PG,193,"Adventure, Biography, Drama","The U.S. space program's development from the breaking of the sound barrier to selection of the Mercury 7 astronauts, from a group of test pilots with a more seat-of-the-pants approach than the program's more cautious engineers pr...",https://m.media-amazon.com/images/M/MV5BZmNiMWIxZDEtYWE0Zi00YzU5LTk4NzctNmE2YThiMGUzYzlkXkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'The Right Stuff', 'Year': '1983', 'Rated': 'PG', 'Released': '17 Feb 1984', 'Runtime': '193 min', 'Genre': 'Adventure, Biography, Drama', 'Director': 'Philip Kaufman', 'Writer': 'Philip Kaufman, Tom Wolfe', 'Actors': 'Sam Shepard, Scott Glenn, Ed Harris', 'Plot': ""The U.S. space program's development from the breaking of the sound barrier to selection of the Mercury 7 astronauts, from a group of test pilots with a more seat-of-the-pants approach than the program's more cautious engineers pr..."", 'Language': 'English, Russian, Spanish', 'Country': 'United States', 'Awards': 'Won 4 Oscars. 12 wins & 16 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BZmNiMWIxZDEtYWE0Zi00YzU5LTk4NzctNmE2YThiMGUzYzlkXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '91/100'}], 'Metascore': '91', 'imdbRating': '7.8', 'imdbVotes': '67,160', 'imdbID': 'tt0086197', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$21,192,102', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
Phar Lap,https://www.rottentomatoes.com/m/phar_lap,1983,88.0,93.0,1983.0,True,,tt0086102,PG,107,"Biography, Drama, Family","The true story of a New Zealand racehorse that became a champion, with the help of a local stable-boy.",https://m.media-amazon.com/images/M/MV5BYjFjMDE5YjktM2QyYS00YjU0LTlmZmQtNWJlYTY1MDdkYTEyXkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'Phar Lap', 'Year': '1983', 'Rated': 'PG', 'Released': '13 Apr 1984', 'Runtime': '107 min', 'Genre': 'Biography, Drama, Family', 'Director': 'Simon Wincer', 'Writer': 'David Williamson', 'Actors': 'Tom Burlinson, Judy Morris, Martin Vaughan', 'Plot': 'The true story of a New Zealand racehorse that became a champion, with the help of a local stable-boy.', 'Language': 'English', 'Country': 'Australia', 'Awards': '4 wins & 5 nominations', 'Poster': 'https://m.media-amazon.com/images/M/MV5BYjFjMDE5YjktM2QyYS00YjU0LTlmZmQtNWJlYTY1MDdkYTEyXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '55/100'}], 'Metascore': '55', 'imdbRating': '7.2', 'imdbVotes': '2,004', 'imdbID': 'tt0086102', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$2,878,404', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
The Terminator,https://www.rottentomatoes.com/m/the_terminator,"Released Oct 26, 1984",100.0,89.0,1984.0,True,,tt0088247,R,107,"Action, Adventure, Sci-Fi",A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.,https://m.media-amazon.com/images/M/MV5BZmE0YzIxM2QtMGNlMi00MjRmLWE3MWMtOWQzMGVjMmU0YTFmXkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'The Terminator', 'Year': '1984', 'Rated': 'R', 'Released': '26 Oct 1984', 'Runtime': '107 min', 'Genre': 'Action, Adventure, Sci-Fi', 'Director': 'James Cameron', 'Writer': 'James Cameron, Gale Anne Hurd, William Wisher', 'Actors': 'Arnold Schwarzenegger, Linda Hamilton, Michael Biehn', 'Plot': 'A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.', 'Language': 'English, Spanish', 'Country': 'United Kingdom, United States', 'Awards': '9 wins & 8 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BZmE0YzIxM2QtMGNlMi00MjRmLWE3MWMtOWQzMGVjMmU0YTFmXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '84/100'}], 'Metascore': '84', 'imdbRating': '8.1', 'imdbVotes': '971,751', 'imdbID': 'tt0088247', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$38,371,200', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
Nostalghia,https://www.rottentomatoes.com/m/nostalghia,"Released Jan 8, 1984",88.0,90.0,1984.0,True,,tt0252880,N/A,97,Documentary,"An intimate and poetic scene-by-scene look into the filming of Tarkovsky's masterpiece, 'Nostalghia'.",https://m.media-amazon.com/images/M/MV5BNWZjNjBlMTctMWY1OC00Yzc5LWI2MTQtYjQ1ZDVhZGU0Yjc1XkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'Andrey Tarkovsky in Nostalghia', 'Year': '1984', 'Rated': 'N/A', 'Released': 'N/A', 'Runtime': '97 min', 'Genre': 'Documentary', 'Director': 'Donatella Baglivo', 'Writer': 'Donatella Baglivo, Tonino Guerra', 'Actors': 'N/A', 'Plot': ""An intimate and poetic scene-by-scene look into the filming of Tarkovsky's masterpiece, 'Nostalghia'."", 'Language': 'N/A', 'Country': 'Italy', 'Awards': 'N/A', 'Poster': 'https://m.media-amazon.com/images/M/MV5BNWZjNjBlMTctMWY1OC00Yzc5LWI2MTQtYjQ1ZDVhZGU0Yjc1XkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.6/10'}], 'Metascore': 'N/A', 'imdbRating': '7.6', 'imdbVotes': '93', 'imdbID': 'tt0252880', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': 'N/A', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
Ghostbusters,https://www.rottentomatoes.com/m/ghostbusters,"Released Jun 8, 1984",95.0,88.0,1984.0,True,,tt0087332,PG,105,"Action, Comedy, Fantasy","Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.",https://m.media-amazon.com/images/M/MV5BMGI0Yjg2ODAtNDYzNi00Njc2LTlkMmMtMmRmYWI5MDE4ZGRkXkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'Ghostbusters', 'Year': '1984', 'Rated': 'PG', 'Released': '08 Jun 1984', 'Runtime': '105 min', 'Genre': 'Action, Comedy, Fantasy', 'Director': 'Ivan Reitman', 'Writer': 'Dan Aykroyd, Harold Ramis', 'Actors': 'Bill Murray, Dan Aykroyd, Sigourney Weaver', 'Plot': 'Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.', 'Language': 'English', 'Country': 'United States', 'Awards': 'Nominated for 2 Oscars. 9 wins & 9 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BMGI0Yjg2ODAtNDYzNi00Njc2LTlkMmMtMmRmYWI5MDE4ZGRkXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '71/100'}], 'Metascore': '71', 'imdbRating': '7.8', 'imdbVotes': '474,893', 'imdbID': 'tt0087332', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$243,640,120', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
Stop Making Sense,https://www.rottentomatoes.com/m/stop_making_sense,"Released Oct 18, 1984",100.0,97.0,1984.0,True,,tt0088178,PG,88,"Documentary, Music",A live performance of the band Talking Heads shot over the course of three nights at Hollywood's Pantages Theater in December of 1983 and featuring their most memorable songs.,https://m.media-amazon.com/images/M/MV5BOTY2Y2EzMTctYTZiMC00YzEzLWIwMDItODQyYWUyY2U2MTk4XkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'Stop Making Sense', 'Year': '1984', 'Rated': 'PG', 'Released': '16 Nov 1984', 'Runtime': '88 min', 'Genre': 'Documentary, Music', 'Director': 'Jonathan Demme', 'Writer': 'Jonathan Demme, Talking Heads', 'Actors': 'David Byrne, Bernie Worrell, Alex Weir', 'Plot': ""A live performance of the band Talking Heads shot over the course of three nights at Hollywood's Pantages Theater in December of 1983 and featuring their most memorable songs."", 'Language': 'English, French', 'Country': 'United States', 'Awards': '3 wins & 1 nomination total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BOTY2Y2EzMTctYTZiMC00YzEzLWIwMDItODQyYWUyY2U2MTk4XkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '8.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '94/100'}], 'Metascore': '94', 'imdbRating': '8.7', 'imdbVotes': '22,811', 'imdbID': 'tt0088178', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$10,306,902', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
Blood Simple,https://www.rottentomatoes.com/m/blood_simple,"Released Jul 7, 1984",94.0,88.0,1984.0,True,,tt0086979,R,99,"Crime, Drama, Thriller","The owner of a seedy small-town Texas bar discovers that one of his employees is having an affair with his wife. A chaotic chain of misunderstandings, lies, and mischief ensues after he devises a plot to have them murdered.",https://m.media-amazon.com/images/M/MV5BNTYxNWY5ODktYWRkOC00NDdkLWIwOGQtOWY5YWQ1N2Q3OWViXkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'Blood Simple', 'Year': '1984', 'Rated': 'R', 'Released': '18 Jan 1985', 'Runtime': '99 min', 'Genre': 'Crime, Drama, Thriller', 'Director': 'Joel Coen, Ethan Coen', 'Writer': 'Joel Coen, Ethan Coen', 'Actors': 'John Getz, Frances McDormand, Dan Hedaya', 'Plot': 'The owner of a seedy small-town Texas bar discovers that one of his employees is having an affair with his wife. A chaotic chain of misunderstandings, lies, and mischief ensues after he devises a plot to have them murdered.', 'Language': 'English, Spanish', 'Country': 'United States', 'Awards': '5 wins & 7 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BNTYxNWY5ODktYWRkOC00NDdkLWIwOGQtOWY5YWQ1N2Q3OWViXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '84/100'}], 'Metascore': '84', 'imdbRating': '7.5', 'imdbVotes': '108,396', 'imdbID': 'tt0086979', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$3,851,855', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
Love Streams,https://www.rottentomatoes.com/m/love_streams,"Released Aug 24, 1984",100.0,88.0,1984.0,True,,tt0087644,PG-13,141,Drama,"Two closely bound, emotionally wounded souls reunite after years apart.",https://m.media-amazon.com/images/M/MV5BYmMxYzJmOTQtMTc2NS00Njg2LTk5OTItNDUxNWMzMjQyODhhXkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'Love Streams', 'Year': '1984', 'Rated': 'PG-13', 'Released': '24 Aug 1984', 'Runtime': '141 min', 'Genre': 'Drama', 'Director': 'John Cassavetes', 'Writer': 'Ted Allan, John Cassavetes', 'Actors': 'Gena Rowlands, John Cassavetes, Diahnne Abbott', 'Plot': 'Two closely bound, emotionally wounded souls reunite after years apart.', 'Language': 'English, French, Spanish', 'Country': 'United States', 'Awards': '4 wins & 2 nominations', 'Poster': 'https://m.media-amazon.com/images/M/MV5BYmMxYzJmOTQtMTc2NS00Njg2LTk5OTItNDUxNWMzMjQyODhhXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}], 'Metascore': 'N/A', 'imdbRating': '7.6', 'imdbVotes': '6,903', 'imdbID': 'tt0087644', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': 'N/A', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
Amadeus,https://www.rottentomatoes.com/m/amadeus,"Released Nov 13, 1984",89.0,95.0,1984.0,True,,tt0086879,PG,160,"Biography, Drama, Music","The life and work of Wolfgang Amadeus Mozart seen through the eyes of his contemporary and rival, Antonio Salieri.",https://m.media-amazon.com/images/M/MV5BMzc2MjM0NTMtOGY4NC00NzY1LWE2ODUtZjMzY2RhNGNkZDAyXkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'Amadeus', 'Year': '1984', 'Rated': 'PG', 'Released': '19 Sep 1984', 'Runtime': '160 min', 'Genre': 'Biography, Drama, Music', 'Director': 'Milos Forman', 'Writer': 'Peter Shaffer, Zdenek Mahler', 'Actors': 'F. Murray Abraham, Tom Hulce, Elizabeth Berridge', 'Plot': 'The life and work of Wolfgang Amadeus Mozart seen through the eyes of his contemporary and rival, Antonio Salieri.', 'Language': 'English, Italian, Latin, German, French', 'Country': 'United States, France', 'Awards': 'Won 8 Oscars. 43 wins & 15 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BMzc2MjM0NTMtOGY4NC00NzY1LWE2ODUtZjMzY2RhNGNkZDAyXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '87/100'}], 'Metascore': '87', 'imdbRating': '8.4', 'imdbVotes': '453,781', 'imdbID': 'tt0086879', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$51,973,029', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
The Killing Fields,https://www.rottentomatoes.com/m/the_killing_fields,"Released Nov 2, 1984",93.0,91.0,1984.0,True,,tt0087553,R,141,"Biography, Drama, History",A journalist is trapped in Cambodia during Pol Pot's bloody Year Zero cleansing campaign.,https://m.media-amazon.com/images/M/MV5BYWFiNThiZjUtMzMxZS00MmY5LWE3NzYtYjU5NjAwOTEwZGMyXkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'The Killing Fields', 'Year': '1984', 'Rated': 'R', 'Released': '01 Feb 1985', 'Runtime': '141 min', 'Genre': 'Biography, Drama, History', 'Director': 'Roland Joffé', 'Writer': 'Bruce Robinson', 'Actors': 'Sam Waterston, Haing S. Ngor, John Malkovich', 'Plot': ""A journalist is trapped in Cambodia during Pol Pot's bloody Year Zero cleansing campaign."", 'Language': 'English, French, Central Khmer, Russian', 'Country': 'United Kingdom', 'Awards': 'Won 3 Oscars. 28 wins & 24 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BYWFiNThiZjUtMzMxZS00MmY5LWE3NzYtYjU5NjAwOTEwZGMyXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '76/100'}], 'Metascore': '76', 'imdbRating': '7.8', 'imdbVotes': '61,830', 'imdbID': 'tt0087553', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$34,700,291', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
The Times of Harvey Milk,https://www.rottentomatoes.com/m/the_times_of_harvey_milk,"Released Sep 20, 1984",96.0,94.0,1984.0,True,,tt0088275,Not Rated,90,"Documentary, Biography, History",A documentary of the successful career and assassination of San Francisco's first elected gay city supervisor.,https://m.media-amazon.com/images/M/MV5BODU3NDVhZjktNTllNy00OTZlLWE1MjctM2VmYjFlODRlOWEzXkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'The Times of Harvey Milk', 'Year': '1984', 'Rated': 'Not Rated', 'Released': '20 Sep 1985', 'Runtime': '90 min', 'Genre': 'Documentary, Biography, History', 'Director': 'Rob Epstein', 'Writer': 'Judith Coburn, Carter Wilson, Rob Epstein', 'Actors': 'Harvey Fierstein, Harvey Milk, Anne Kronenberg', 'Plot': ""A documentary of the successful career and assassination of San Francisco's first elected gay city supervisor."", 'Language': 'English', 'Country': 'United States', 'Awards': 'Won 1 Oscar. 11 wins & 2 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BODU3NDVhZjktNTllNy00OTZlLWE1MjctM2VmYjFlODRlOWEzXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}], 'Metascore': 'N/A', 'imdbRating': '8.2', 'imdbVotes': '6,828', 'imdbID': 'tt0088275', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$13,801', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
The Purple Rose of Cairo,https://www.rottentomatoes.com/m/purple_rose_of_cairo,"Released Mar 1, 1985",93.0,88.0,1985.0,True,,tt0089853,PG,82,"Comedy, Fantasy, Romance","In 1935 New Jersey, a movie character walks off the screen and into the real world.",https://m.media-amazon.com/images/M/MV5BMDQ3NjE3YTMtYWY3ZC00NjcyLThlNDYtNTVmMDE2YjZjYzliXkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'The Purple Rose of Cairo', 'Year': '1985', 'Rated': 'PG', 'Released': '19 Apr 1985', 'Runtime': '82 min', 'Genre': 'Comedy, Fantasy, Romance', 'Director': 'Woody Allen', 'Writer': 'Woody Allen', 'Actors': 'Mia Farrow, Jeff Daniels, Danny Aiello', 'Plot': 'In 1935 New Jersey, a movie character walks off the screen and into the real world.', 'Language': 'English', 'Country': 'United States', 'Awards': 'Nominated for 1 Oscar. 15 wins & 15 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BMDQ3NjE3YTMtYWY3ZC00NjcyLThlNDYtNTVmMDE2YjZjYzliXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '75/100'}], 'Metascore': '75', 'imdbRating': '7.6', 'imdbVotes': '57,267', 'imdbID': 'tt0089853', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$10,631,333', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
The Breakfast Club,https://www.rottentomatoes.com/m/breakfast_club,"Released Feb 15, 1985",89.0,92.0,1985.0,True,,tt0088847,R,97,"Comedy, Drama",Five high school students meet in Saturday detention and discover how they have a great deal more in common than they thought.,https://m.media-amazon.com/images/M/MV5BZTZiMGU1MWMtNjk0Yi00ZjNjLTljMDEtMDhkNGE2OWY3YzZiXkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'The Breakfast Club', 'Year': '1985', 'Rated': 'R', 'Released': '15 Feb 1985', 'Runtime': '97 min', 'Genre': 'Comedy, Drama', 'Director': 'John Hughes', 'Writer': 'John Hughes', 'Actors': 'Emilio Estevez, Judd Nelson, Molly Ringwald', 'Plot': 'Five high school students meet in Saturday detention and discover how they have a great deal more in common than they thought.', 'Language': 'English', 'Country': 'United States', 'Awards': '4 wins total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BZTZiMGU1MWMtNjk0Yi00ZjNjLTljMDEtMDhkNGE2OWY3YzZiXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '66/100'}], 'Metascore': '66', 'imdbRating': '7.8', 'imdbVotes': '462,255', 'imdbID': 'tt0088847', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$45,875,171', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
Back to the Future,https://www.rottentomatoes.com/m/back_to_the_future,"Released Jul 3, 1985",93.0,95.0,1985.0,True,,tt0088763,PG,116,"Adventure, Comedy, Sci-Fi","Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",https://m.media-amazon.com/images/M/MV5BZmM3ZjE0NzctNjBiOC00MDZmLTgzMTUtNGVlOWFlOTNiZDJiXkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'Back to the Future', 'Year': '1985', 'Rated': 'PG', 'Released': '03 Jul 1985', 'Runtime': '116 min', 'Genre': 'Adventure, Comedy, Sci-Fi', 'Director': 'Robert Zemeckis', 'Writer': 'Robert Zemeckis, Bob Gale', 'Actors': 'Michael J. Fox, Christopher Lloyd, Lea Thompson', 'Plot': 'Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.', 'Language': 'English', 'Country': 'United States', 'Awards': 'Won 1 Oscar. 27 wins & 25 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BZmM3ZjE0NzctNjBiOC00MDZmLTgzMTUtNGVlOWFlOTNiZDJiXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '87/100'}], 'Metascore': '87', 'imdbRating': '8.5', 'imdbVotes': '1,398,277', 'imdbID': 'tt0088763', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$214,553,307', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
The Official Story,https://www.rottentomatoes.com/m/official_story,"Released Nov 8, 1985",100.0,89.0,1985.0,True,,tt0089276,Not Rated,112,"Drama, History","During the final months of Argentinian Military Dictatorship in 1983, a high school teacher sets out to find out who the mother of her adopted daughter is.",https://m.media-amazon.com/images/M/MV5BNTY1NGQ0MzYtOWYwYS00YTU1LTk2MmYtMjc0NjVjYzVhNDZjXkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'The Official Story', 'Year': '1985', 'Rated': 'Not Rated', 'Released': '08 Nov 1985', 'Runtime': '112 min', 'Genre': 'Drama, History', 'Director': 'Luis Puenzo', 'Writer': 'Aída Bortnik, Luis Puenzo', 'Actors': 'Norma Aleandro, Héctor Alterio, Chunchuna Villafañe', 'Plot': 'During the final months of Argentinian Military Dictatorship in 1983, a high school teacher sets out to find out who the mother of her adopted daughter is.', 'Language': 'Spanish, English', 'Country': 'Argentina', 'Awards': 'Won 1 Oscar. 25 wins & 9 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BNTY1NGQ0MzYtOWYwYS00YTU1LTk2MmYtMjc0NjVjYzVhNDZjXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}], 'Metascore': 'N/A', 'imdbRating': '7.7', 'imdbVotes': '11,138', 'imdbID': 'tt0089276', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$29,426', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
