rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/10008507-deep_water,Deep Water,"In 1968, Donald Crowhurst, an inexperienced British sailor, puts up his home as collateral, gains financial backing and enters the Golden Globe, the first nonstop boat race around the world. Under dire financial pressure, Crowhurst decides to set sail before his boat is fully built, leaving it unprepared for the stresses of the open ocean. Crowhurst is under-prepared himself, and his decision to embark before he and his vessel are ready sets a deadly chain of events into motion.","Equal parts mystery and biography, Deep Water is both an engrossing documentary and an affecting treatise on human folly and obsession.",PG,"Documentary, Special Interest","Louise Osmond, Jerry Rothwell","Louise Osmond, Jerry Rothwell","Tilda Swinton, Donald Crowhurst, Santiago Franchessie, Ted Hynds, Jean Badin",2006-09-03,2017-04-04,93.0,IFC Films,Certified-Fresh,96.0,55.0,Upright,87.0,4961.0,22,53,2
m/10009029-kenny,Kenny,"Australian Kenny Smyth (Shane Jacobson) has possibly one of the most thankless and off-putting occupations imaginable: He's a plumber who specializes in delivering and maintaining portable toilets to well-populated events. Mockumentary cameras follow Smyth as he juggles his family life with his excrement-soaked travails and eventually works his way to the highlight of his career -- a visit to the International Pumper and Cleaner Expo in Nashville, Tenn., a gathering for renowned plumbing pros.",Kenny uses its seemingly lowbrow mockumentary premise as the foundation for a well-acted and surprisingly thoughtful character study.,PG-13,Comedy,Clayton Jacobson,"Clayton Jacobson, Shane Jacobson","Shane Jacobson, Eve von Bibra, Alf Scerri, Ronald Jacobson, Jesse Jacobson, Travis Golland, Hayley Preusker, Chris Davis, Saxon Fuller, Ian Dryden, Thomas Uerata, Morihiko Hasebe, Glenn Preusker",2008-03-21,2020-04-17,100.0,Xenon Pictures,Fresh,100.0,25.0,Upright,86.0,8978.0,11,25,0
m/10009823-sin_nombre,Sin Nombre,"Sayra (Paulina Gaitán), a Honduran teen, hungers for a better life. Her chance for one comes when she is reunited with her long-estranged father, who intends to emigrate to Mexico and then enter the United States. Sayra's life collides with a pair of Mexican gangmembers (Edgar Flores, Kristyan Ferrer) who have boarded the same American-bound train.","Part harrowing immigration tale, part gangster story, this debut by writer/director Cary Fukunaga is sensitive, insightful and deeply authentic.",R,"Drama, Mystery & Suspense",Cary Joji Fukunaga,Cary Joji Fukunaga,"Paulina Gaitan, Edgar Flores, Kristyan Ferrer, Diana García, Jesus Lira, Emir Meza, Felipe Castro, Tenoch Huerta Mejía, Héctor Jiménez, Luis Fernando Pena, Kristian Ferrer",2009-03-20,2016-08-10,96.0,Focus Features,Certified-Fresh,88.0,120.0,Upright,89.0,21295.0,40,106,14
m/10011003-crude,Crude,"In this documentary, director Joe Berlinger looks into a major environmental disaster in the Amazon, which involves the oil industry in Ecuador. While the film explores the human toll of the corporate presence in the heart of the jungle, it also presents the circumstances involved in the massive legal case associated with the complicated situation. Investigating the issue from a variety of perspectives, the movie shows how big business can drastically affect the world.","Dynamic, tightly arranged, and deliberately provocative, Joe Berlinger's Crude is a sobering, enraging wake-up call.",NR,"Documentary, Special Interest",Joe Berlinger,,"Pablo Fajardo, Luis Yanza, Germán Yáñez, Adolfo Callejas, Diego Larrea, Emergildo Criollo, Steve Donziger, Steven Donziger, Altossa Soltani, Alejandro Ponce, Joseph Kohn, Maria Garofalo, Sara McMillan, Ricardo Reis Vega, Rosa Moreno, Rafael Correa, Trudie Styler, Silvia Yanez, Richard Cabrera",2009-09-09,2017-03-08,104.0,First Run Features,Certified-Fresh,95.0,66.0,Upright,85.0,1479.0,28,63,3
m/1001115-apartment,The Apartment,"Insurance worker C.C. Baxter (Jack Lemmon) lends his Upper West Side apartment to company bosses to use for extramarital affairs. When his manager Mr. Sheldrake (Fred MacMurray) begins using Baxter's apartment in exchange for promoting him, Baxter is disappointed to learn that Sheldrake's mistress is Fran Kubelik (Shirley MacLaine), the elevator girl at work whom Baxter is interested in himself. Soon Baxter must decide between the girl he loves and the advancement of his career.","Director Billy Wilder's customary cynicism is leavened here by tender humor, romance, and genuine pathos.",NR,"Classics, Comedy, Drama, Romance",Billy Wilder,"Billy Wilder, I.A.L. Diamond","Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston, Jack Kruschen, Joan Shawlee, David Lewis, Edie Adams, Hope Holiday, Johnny Seven, Naomi Stevens, Francis Lax, Joyce Jameson, Willard Waterman, David White, Benny Burt, Hal Smith, Dorothy Abbott",1960-06-15,2016-03-29,125.0,United Artists,Certified-Fresh,93.0,71.0,Upright,94.0,38188.0,17,66,5
m/1001902-beauty_and_the_beast,Beauty and The Beast (La Belle et la bête),"The story of a gentle-hearted beast in love with a simple and beautiful girl. She is drawn to the repellent but strangely fascinating Beast, who tests her fidelity by giving her a key, telling her that if she doesn't return it to him by a specific time, he will die of grief. She is unable to return the key on time, but it is revealed that the Beast is the genuinely handsome one. A simple tale of tragic love that turns into a surreal vision of death, desire, and beauty.","With its magical optical effects and enchanting performances, Jean Cocteau's Beauty and the Beast remains the most surreal -- and soulful -- of the fairy tale's film adaptations.",NR,"Drama, Science Fiction & Fantasy, Romance",Jean Cocteau,Jean Cocteau,"Jean Marais, Josette Day, Marcel André, Mila Parely, Nane Germon, Michel Auclair, Raoul Marco, Georges Auric, Jean Cocteau",1946-01-01,2017-01-14,95.0,Lopert Pictures,Certified-Fresh,95.0,66.0,Upright,90.0,22615.0,16,63,3
m/1002332-big_heat,The Big Heat,"A police officer seems to have committed suicide, but Detective Dave Bannion (Glenn Ford) thinks there's more to the story. After talking to the man's mob-connected mistress, Bannion discovers far-reaching corruption that leads all the way from the police station to kingpin Mike Lagana (Alexander Scourby). But when the policeman's lover is killed, it becomes clear that crossing Lagana is a dangerous thing to do. Soon Bannion finds himself marked for death and his family in mortal danger.",,PG,"Classics, Drama, Mystery & Suspense",Fritz Lang,Sydney Boehm,"Glenn Ford, Gloria Grahame, Jocelyn Brando, Alexander Scourby, Lee Marvin, Jeanette Nolan, Peter Whitney, Willis Bouchey, Robert Burton, Adam Williams, Howard Wendell, Chris Alcaide, Michael Granger, Dorothy Green, Carolyn Jones, Ric Roman, Dan Seymour, Edith Evanson, Joseph Mell, Sidney Clute, Norma Randall, Linda Bennett, Herbert C. Lytton, Ezelle Poule, Byron Kane, Lyle Latell, Ted Stanhope, Michael Ross, William Murphy, Phil Arnold, Douglas Evans, Mike Mahoney, Patrick Miller, Paul Maxey, Charles Cane, Kathryn Eames, John Merton, Al Eben, William Vedder, Harry Lauter, Phil Chambers, Robert Forrest, John Crawford, John Doucette, John Close",,2014-04-25,90.0,Columbia Pictures,Fresh,100.0,31.0,Upright,90.0,5964.0,7,31,0
m/1002352-big_sleep,The Big Sleep,"Private investigator Philip Marlowe (Humphrey Bogart) is hired by General Sternwood to help resolve the gambling debts of his wild young daughter, Carmen (Martha Vickers). Sternwood's older daughter, Vivian (Lauren Bacall), provides assistance when she implies that the situation is more complex, and also involves casino owner (John Ridgely) and a recently disappeared family friend. As people linked to the Sternwoods start being murdered, Marlowe finds himself getting ever deeper into the case.","A perfect match of screenplay, director, and leading man, The Big Sleep stands as a towering achievement in film noir whose grim vitality remains undimmed.",PG,"Classics, Drama, Mystery & Suspense",Howard Hawks,"William Faulkner, Leigh Brackett, Jules Furthman","Humphrey Bogart, Lauren Bacall, Martha Vickers, Dorothy Malone, John Ridgely, Louis Jean Heydt, Regis Toomey, Sonia Darrin, Bob Steele, Tom Rafferty, Charles Waldron, Elisha Cook Jr., Charles D. Brown, Tom Fadden, Tom Raffery, Ben Welden, Trevor Bardette, James Flavin, Joy Barlowe, Peggy Knudsen, Theodore von Eltz, Carole Douglas, Dan Wallace, Tanis Chandler, Thomas E. Jackson, Deannie Best, Lorraine Miller, Shelby Payne, Forbes Murray, Jack Chefe, Joseph Crehan, Emmett Vogan, Paul Weber, Jack Perry",1946-08-31,2015-09-11,114.0,Warner Bros. Pictures,Certified-Fresh,97.0,65.0,Upright,91.0,33511.0,15,63,2
m/1002407-billy_budd,Billy Budd,"In this film based on the Herman Melville novel, handsome, young Billy Budd (Terence Stamp) joins the British navy during wartime, where his skill quickly makes him a trusted crew member. However, sinister master-at-arms Claggart (Robert Ryan), secretly jealous of Billy, accuses him of treason. Billy strikes Claggart in anger, causing him to fall and die. Capt. Vere (Peter Ustinov) feels pity for Billy but believes that maritime law requires that Billy be executed for killing an officer.",,NR,"Action & Adventure, Classics, Drama",Peter Ustinov,"Peter Ustinov, Robert Rossen, DeWitt Bodeen","Terence Stamp, Robert Ryan, Peter Ustinov, Melvyn Douglas, John Neville, David McCallum, Ronald Lewis, Lee Montague, Paul Rogers, Thomas Heathcote, Niall MacGinnis, John Meillon, Ray McAnally, Robert Brown, Cyril Luckham, Victor Brooks, Barry Keegan",1962-11-12,2017-05-22,123.0,Allied Artists Pictures,Fresh,90.0,10.0,Upright,86.0,7.0,0,9,1
m/1002681-blue_angel,Der Blaue Engel (The Blue Angel),"Prim educator Immanuel Rath (Emil Jannings) finds some of his students ogling racy photos of cabaret performer Lola Lola (Marlene Dietrich) and visits a local club, The Blue Angel, in an attempt to catch them there. Seeing Lola perform, the teacher is driven mad with lust, eventually resigning his position at the school to marry his beloved. However, married life with a woman whose job is to make men desire her proves more difficult than Rath imagined.",Marlene Dietrich steals more than one show in this backstage tragedy about a lowly professor besotted with a cruel and enigmatic singer.,NR,"Art House & International, Classics, Drama, Musical & Performing Arts",Josef von Sternberg,"Robert Liebmann, Karl Vollmöller, Josef von Sternberg, Karl Vollmoeller, Robert H. Lieberman, Carl Zuckmayer","Marlene Dietrich, Emil Jannings, Kurt Gerron, Rose Valetti, Hans Albers, Rosa Valetti, Eduard von Winterstein ..., Karl Huszar-Puffy, Reinhold Bernt, Hans Roth, Robert Klein-Lörk, Gerhard Bienert, Wilhelm Diegelmann, Ilse Furstenberg, Carl Ballhaus, Rolf Müller, Roland Varno",1930-04-01,2017-02-06,94.0,Universum Film Gmbh,Certified-Fresh,96.0,45.0,Upright,87.0,5696.0,12,43,2
m/1002930-born_yesterday,Born Yesterday,"Brassy blonde moll Billie Dawn (Judy Holliday) hits Washington, D.C., with her unscrupulous millionaire sugar daddy, Harry Brock (Broderick Crawford), and his sleazy lawyer, Jim Devery (Howard St. John), who has been pressuring Harry to marry Billie by pointing out that a wife cannot be forced to testify against her husband. In an effort to make Billie more socially acceptable, Harry hires journalist Paul Verrall (William Holden) to smarten her up -- and sparks soon fly between the pair.","Marrying screwball romance with political satire, Born Yesterday is a substantive romp with a ferociously smart performance by Judy Holliday as an uncouth bombshell.",NR,"Classics, Comedy, Drama",George Cukor,Albert Mannheimer,"Judy Holliday, Broderick Crawford, William Holden, Howard St. John, Frank Otto, Larry Oliver, Barbara Brown, Grandon Rhodes, Claire Carleton, Smoki Whitfield, David Pardon, Helen Eby-Rock, William Mays, David Pardoll, Mike Mahoney, John Morley, Paul Marion, Ram Singh, Charles Cane",1950-12-26,2013-01-01,103.0,Columbia Pictures,Fresh,97.0,34.0,Upright,86.0,4780.0,6,33,1
m/1003094-brief_encounter,Brief Encounter,"Returning home from a shopping trip to a nearby town, bored suburban housewife Laura Jesson (Celia Johnson) is thrown by happenstance into an acquaintance with virtuous doctor Alec Harvey (Trevor Howard). Their casual friendship soon develops during their weekly visits into something more emotionally fulfilling than either expected, and they must wrestle with the potential havoc their deepening relationship would have on their lives and the lives of those they love.","Brief Encounter adds a small but valuable gem to the Lean filmography, depicting a doomed couple's illicit connection with affecting sensitivity and a pair of powerful performance.",NR,"Classics, Drama, Romance",David Lean,"David Lean, Anthony Havelock-Allan, Ronald Neame, Noel Coward, Coward Lean","Trevor Howard, Celia Johnson, Joyce Carey, Cyril Raymond, Stanley Holloway, Everley Gregg, Margaret Barton, Valentine Dyall, Marjorie Mars, Nuna Davey, Dennis Harkin, Irene Handl, Edward Hodge, Sydney Bromley, Wilfred Babbage, Avis Scott, Henrietta Vincent, Richard Thomas, George V. Sheldon, Wallace Bosco, Jack May",1945-11-26,2016-11-18,86.0,Universal Pictures,Certified-Fresh,91.0,44.0,Upright,91.0,11170.0,15,40,4
m/1003318-butch_cassidy_and_the_sundance_kid,Butch Cassidy and the Sundance Kid,"The true story of fast-draws and wild rides, battles with posses, train and bank robberies, a torrid love affair and a new lease on outlaw life in far away Bolivia. It is also a character study of a remarkable friendship between Butch - possibly the most likeable outlaw in frontier history - and his closest associate, the fabled, ever-dangerous Sundance Kid.","With its iconic pairing of Paul Newman and Robert Redford, jaunty screenplay and Burt Bacharach score, Butch Cassidy and the Sundance Kid has gone down as among the defining moments in late-'60s American cinema.",PG,"Action & Adventure, Classics, Western",George Roy Hill,"William Goldman, George Roy Hill","Paul Newman, Robert Redford, Katharine Ross, Strother Martin, Jeff Corey, George Furth, Cloris Leachman, Ted Cassidy, Kenneth Mars, Henry Jones, Donnelly Rhodes, Jo Gilbert, Jody Gilbert, Timothy Scott, Don Keefer, Charles Dierkop, Pancho Cordova, Nelson Olmsted, Paul Bryar, Sam Elliott, Charles Akins, Eric Sinclair, Burt Bacharach",1969-10-24,2015-11-25,110.0,20th Century Fox,Certified-Fresh,90.0,51.0,Upright,92.0,71183.0,8,46,5
m/1003492-cape_fear,Cape Fear,"After an eight-year prison sentence for rape, Max Cady (Robert Mitchum) targets Sam Bowden (Gregory Peck), one of the lawyers who sent him away. When Max finds Sam and his family, he begins a terrifying stalking spree, intending to ruin Sam's life. Desperate to protect his wife and daughter, Sam makes every effort to send Max back to jail. But when his attempts fail, Sam realizes that he must take matters into his own hands if he wants to rid his life of Max for good.","An exemplary thriller powered by Robert Mitchum's chilling performance and Bernard Herrmann's sinister score, Cape Fear seethes with perfectly modulated tension.",NR,"Classics, Drama, Mystery & Suspense",J. Lee Thompson,James R. Webb,"Robert Mitchum, Gregory Peck, Polly Bergen, Martin Balsam, Lori Martin, Telly Savalas, Jack Kruschen, Edward Platt, Barrie Chase, John R. McKee, Paul Comi, Page Slattery, Ward Ramsey, Will Wright, Joan Staley, Mack Williams, Thomas Newman, Bunny Rhea, Carol Sydes, Alan Reynolds, Herb Armstrong, Al Silvani, Paul Levitt, Alan Wells, Allan Ray, Norma Yost, Josephine Smith, Marion Landers, Joseph Jenkins, Jack Richardson, Aldo Silvani, Bob Noble, Jack Elkins",1962-04-18,2015-08-21,105.0,Universal International Pictur,Fresh,100.0,22.0,Upright,86.0,17735.0,1,22,0
m/1003499-captain_blood,Captain Blood,"In England in the 1600s, Dr. Peter Blood (Errol Flynn) treats the wounds of a man who had been injured in a rebellion against King James II, for which he is convicted of treason and sold into slavery in the Caribbean colony of Port Royal, Jamaica. Despite the kindnesses of his new owner, Arabella Bishop (Olivia de Havilland), Blood and his fellow slaves escape to begin a life of high-seas piracy. But when Captain Blood crosses paths with Arabella again years later, he remembers her compassion.",,NR,"Action & Adventure, Classics",Michael Curtiz,Casey Robinson,"Errol Flynn, Olivia de Havilland, Basil Rathbone, Lionel Atwill, Guy Kibbee, George Hassell, Robert H. Barrat, Donald Meek, J. Carroll Naish, Mary Forbes, Henry Stephenson, Jessie Ralph, Ross Alexander, Forrester Harvey, Frank McGlynn Sr., Hobart Cavanaugh, David Torrence, Pedro de Cordoba, Leonard Mudie, Stuart Casey, Halliwell Hobbes, Colin Kenny, E.E. Clive, Holmes Herbert, Reginald Barlow, Ivan Simpson, Denis D'Auburn, Vernon Steele, James Gardner, Georges Renavent, Murray Kinnell, Harry Cording, Maude Leslie, Chris-Pin Martin, David Thursby, Yola d'Avril, Renee Terres, Henry Otho, Lucille Porcett, Tina Minard, Alphonse Martell, Andre Cheron, Frank Puglia, Tom Wilson",1935-12-28,2008-01-01,119.0,Twentieth Century Fox Home Entertainment,Fresh,100.0,27.0,Upright,89.0,8194.0,4,27,0
